General : Method name,General : Method saved date,General : Sample File Name,Sample text inputs : Polymer batch,Sample choice input : Sample choice input  1,Sample choice input : Sample choice input  2,Sample notes : Sample Description,Precycling : Cycles,Precycling : Rate,Test : Rate 1
,,,,,,,,(%/s),(%/s)
"C:\Users\Public\Documents\Instron\Bluehill Universal\Output\Warrick\WM Uniaxial Tensile.im_tens","7/14/2020 4:29 PM","C:\Users\Public\Documents\Instron\Bluehill Universal\Output\Warrick\wm 2-104_20211102_161137.is_tens","wm 2-104-1","<None>","<None>","","10","10.00","3.00"

Results Table 1
,Sample Type,Specimen ID,Specimen Thickness,Length,Thickness,Width,Modulus (Automatic Young's)
,,,,(mm),(mm),(mm),(MPa)
2,"<None>","2","<None>","15.31","1.05","1.58","10.29"

Time,Displacement,Force
(s),(mm),(mN)
"0.00000","0.00000","-2.8623"
"0.020000","0.00000","-1.9993"
"0.040000","0.000034412","-2.6703"
"0.060000","0.0020916","9.1189"
"0.080000","0.014932","41.334"
"0.10000","0.033087","78.371"
"0.12000","0.057592","131.68"
"0.14000","0.091714","194.32"
"0.16000","0.12821","251.11"
"0.18000","0.16203","299.51"
"0.20000","0.19399","341.44"
"0.22000","0.22572","382.69"
"0.24000","0.25734","421.74"
"0.26000","0.28845","458.00"
"0.28000","0.31932","494.02"
"0.30000","0.35017","527.67"
"0.32000","0.38072","560.21"
"0.34000","0.41093","591.69"
"0.36000","0.44121","621.74"
"0.38000","0.47197","653.85"
"0.40000","0.50287","683.60"
"0.42000","0.53360","712.76"
"0.44000","0.56449","742.76"
"0.46000","0.59545","770.09"
"0.48000","0.62640","798.32"
"0.50000","0.65687","824.57"
"0.52000","0.68673","849.03"
"0.54000","0.71673","876.08"
"0.56000","0.74727","902.38"
"0.57200","0.76580","917.89"
"0.57300","0.76735","919.20"
"0.59300","0.79722","936.18"
"0.61300","0.81135","914.12"
"0.63300","0.79933","862.95"
"0.65300","0.77693","806.87"
"0.67300","0.74876","746.20"
"0.69300","0.71486","686.53"
"0.71300","0.68000","631.56"
"0.73300","0.64735","582.97"
"0.75300","0.61621","539.34"
