General : Method name,General : Method saved date,General : Sample File Name,Sample text inputs : Polymer batch,Sample choice input : Sample choice input  1,Sample choice input : Sample choice input  2,Sample notes : Sample Description,Precycling : Cycles,Precycling : Rate,Test : Rate 1
,,,,,,,,(%/s),(%/s)
"C:\Users\Public\Documents\Instron\Bluehill Universal\Output\Warrick\WM Uniaxial Tensile.im_tens","7/14/2020 4:29 PM","C:\Users\Public\Documents\Instron\Bluehill Universal\Output\Warrick\wm 2-104_20211102_161137.is_tens","wm 2-104-1","<None>","<None>","","10","10.00","3.00"

Results Table 1
,Sample Type,Specimen ID,Specimen Thickness,Length,Thickness,Width,Modulus (Automatic Young's)
,,,,(mm),(mm),(mm),(MPa)
4,"<None>","4","<None>","13.50","0.98","1.53","10.42"

Time,Displacement,Force
(s),(mm),(mN)
"0.00000","0.00000","-2.6429"
"0.020000","0.00000","-2.2160"
"0.040000","0.000057504","-1.9550"
"0.060000","0.0029634","11.112"
"0.080000","0.015724","38.374"
"0.10000","0.031077","68.070"
"0.12000","0.051652","111.83"
"0.14000","0.082359","166.70"
"0.16000","0.11599","218.06"
"0.18000","0.14675","260.59"
"0.20000","0.17508","296.88"
"0.22000","0.20284","332.69"
"0.24000","0.23064","366.92"
"0.26000","0.25812","399.08"
"0.28000","0.28502","430.64"
"0.30000","0.31163","459.94"
"0.32000","0.33842","490.22"
"0.34000","0.36543","520.35"
"0.36000","0.39263","548.74"
"0.38000","0.41995","578.58"
"0.40000","0.44728","606.83"
"0.42000","0.47440","633.78"
"0.44000","0.50137","660.73"
"0.46000","0.52840","686.63"
"0.48000","0.55546","713.18"
"0.50000","0.58226","738.84"
"0.52000","0.60882","762.82"
"0.54000","0.63535","788.90"
"0.56000","0.66224","813.74"
"0.57000","0.67582","826.02"
"0.57100","0.67718","827.26"
"0.59100","0.70370","845.79"
"0.61100","0.71691","831.88"
"0.63100","0.70748","791.77"
"0.65100","0.68869","747.34"
"0.67100","0.66484","696.30"
"0.69100","0.63501","644.46"
"0.71100","0.60407","596.43"
"0.73100","0.57507","553.72"
"0.75100","0.54722","514.90"
"0.77100","0.51941","475.52"
"0.79100","0.49157","438.29"
"0.81100","0.46402","402.30"
"0.83100","0.43667","365.77"
"0.85100","0.40929","330.81"
"0.87100","0.38189","295.98"
"0.89100","0.35485","261.61"
"0.91100","0.32820","229.44"
"0.93100","0.30161","196.10"
"0.95100","0.27480","162.80"
"0.97100","0.24783","129.98"
"0.99100","0.22061","95.970"
"1.0110","0.19321","62.913"
"1.0310","0.16592","30.075"
"1.0510","0.13881","-3.0376"
"1.0710","0.11168","-33.950"
"1.0910","0.084606","-67.045"
"1.1110","0.057719","-98.521"
"1.1310","0.030926","-128.99"
"1.1510","0.0041110","-161.22"
"1.1550","-0.0012310","-167.49"
"1.1560","-0.0025659","-169.04"
"1.1760","-0.028374","-190.42"
"1.1960","-0.040855","-178.66"
"1.2160","-0.031357","-137.35"
"1.2360","-0.013726","-89.934"
"1.2560","0.0090689","-37.713"
"1.2760","0.039051","21.087"
"1.2960","0.071149","74.722"
"1.3160","0.10126","119.97"
"1.3360","0.12947","161.29"
"1.3560","0.15722","200.04"
"1.3760","0.18492","238.10"
"1.3960","0.21250","274.73"
"1.4160","0.23993","309.91"
"1.4360","0.26704","343.86"
"1.4560","0.29377","376.41"
"1.4760","0.32050","409.46"
"1.4960","0.34744","441.74"
"1.5160","0.37461","473.81"
"1.5360","0.40190","505.41"
"1.5560","0.42929","537.71"
"1.5760","0.45653","567.62"
"1.5960","0.48358","596.11"
"1.6160","0.51056","627.06"
"1.6360","0.53766","654.41"
"1.6560","0.56463","682.96"
"1.6760","0.59131","711.25"
"1.6960","0.61784","736.83"
"1.7160","0.64453","765.27"
"1.7360","0.67153","792.18"
"1.7390","0.67561","796.14"
"1.7400","0.67697","797.46"
"1.7600","0.70349","816.89"
"1.7800","0.71671","805.33"
"1.8000","0.70728","765.87"
"1.8200","0.68848","722.22"
"1.8400","0.66461","672.02"
"1.8600","0.63477","620.32"
"1.8800","0.60385","573.79"
"1.9000","0.57486","530.64"
"1.9200","0.54701","491.91"
"1.9400","0.51921","453.70"
"1.9600","0.49135","415.68"
"1.9800","0.46381","380.78"
"2.0000","0.43648","345.37"
"2.0200","0.40912","308.42"
"2.0400","0.38174","275.77"
"2.0600","0.35469","241.55"
"2.0800","0.32803","208.70"
"2.1000","0.30144","177.08"
"2.1200","0.27462","142.74"
"2.1400","0.24765","111.01"
"2.1600","0.22046","77.575"
"2.1800","0.19306","43.716"
"2.2000","0.16577","12.681"
"2.2200","0.13867","-20.202"
"2.2400","0.11155","-51.863"
"2.2600","0.084461","-83.096"
"2.2800","0.057575","-115.09"
"2.3000","0.030759","-144.91"
"2.3200","0.0039052","-176.51"
"2.3230","-0.00010909","-181.35"
"2.3240","-0.0014466","-182.94"
"2.3440","-0.027296","-204.23"
"2.3640","-0.039793","-191.05"
"2.3840","-0.030376","-150.45"
"2.4040","-0.012816","-103.05"
"2.4240","0.0099261","-50.180"
"2.4440","0.039920","8.6625"
"2.4640","0.072080","62.015"
"2.4840","0.10221","107.42"
"2.5040","0.13041","149.09"
"2.5240","0.15817","187.15"
"2.5440","0.18590","225.58"
"2.5640","0.21347","262.66"
"2.5840","0.24085","296.86"
"2.6040","0.26797","331.07"
"2.6240","0.29472","363.87"
"2.6440","0.32147","396.49"
"2.6640","0.34840","429.15"
"2.6840","0.37556","461.10"
"2.7040","0.40287","493.02"
"2.7240","0.43030","524.10"
"2.7440","0.45754","555.06"
"2.7640","0.48459","585.33"
"2.7840","0.51158","614.02"
"2.8040","0.53867","643.58"
"2.8240","0.56562","672.16"
"2.8440","0.59229","699.06"
"2.8640","0.61882","726.58"
"2.8840","0.64550","754.66"
"2.9040","0.67251","781.88"
"2.9060","0.67523","784.47"
"2.9070","0.67659","785.77"
"2.9270","0.70311","805.33"
"2.9470","0.71633","794.69"
"2.9670","0.70695","755.72"
"2.9870","0.68819","711.90"
"3.0070","0.66437","662.18"
"3.0270","0.63449","610.17"
"3.0470","0.60354","563.14"
"3.0670","0.57456","520.53"
"3.0870","0.54670","482.35"
"3.1070","0.51886","443.47"
"3.1270","0.49100","405.84"
"3.1470","0.46347","371.07"
"3.1670","0.43613","334.64"
"3.1870","0.40877","300.05"
"3.2070","0.38141","265.80"
"3.2270","0.35437","232.04"
"3.2470","0.32770","200.41"
"3.2670","0.30111","166.88"
"3.2870","0.27431","134.21"
"3.3070","0.24734","101.84"
"3.3270","0.22014","69.115"
"3.3470","0.19275","35.925"
"3.3670","0.16544","2.7199"
"3.3870","0.13833","-27.735"
"3.4070","0.11121","-59.975"
"3.4270","0.084120","-92.051"
"3.4470","0.057242","-122.10"
"3.4670","0.030405","-153.74"
"3.4870","0.0035217","-184.11"
"3.4900","-0.00049357","-188.52"
"3.4910","-0.0018312","-190.01"
"3.5110","-0.027667","-211.93"
"3.5310","-0.040154","-198.99"
"3.5510","-0.030754","-157.31"
"3.5710","-0.013197","-110.51"
"3.5910","0.0095662","-56.607"
"3.6110","0.039559","0.67423"
"3.6310","0.071719","54.679"
"3.6510","0.10185","100.65"
"3.6710","0.13003","140.44"
"3.6910","0.15779","180.48"
"3.7110","0.18551","217.67"
"3.7310","0.21305","254.19"
"3.7510","0.24044","289.96"
"3.7710","0.26759","323.42"
"3.7910","0.29436","356.17"
